x, y
4.43148895E-05,4.218246387E-05
9.56270083E-05,8.533094761E-05
1.37609277E-04,1.069051949E-04
1.79592021E-04,1.159212876E-04
2.33236128E-04,1.139892588E-04
3.47521887E-04,1.204293422E-04
4.66472255E-04,1.268694092E-04
5.80758015E-04,1.236493757E-04
6.95043616E-04,1.255813936E-04
8.16326447E-04,1.239713768E-04
9.30612206E-04,1.259034002E-04
1.04723027E-03,1.262254068E-04
1.16384833E-03,1.242933889E-04
1.29212824E-03,1.217173523E-04
1.39941677E-03,1.236493757E-04
1.52303206E-03,1.249373912E-04
